extract	country	city	top	left	bottom	right
congo-kinshasa	Congo-Kinshasa		54920026	119374291	-135590349	314056758
cook_islands	Cook Islands		-86168791	-1661856467	-222580699	-1570154965
costa_rica	Costa Rica		113196781	-873722646	52329698	-824060207
croatia	Croatia		46655029	13101983	420748212	195470842
cuba	Cuba		235816972	-852679701	195275294	-738190003
cyprus	Cyprus		36013252	319227581	343383706	349553182
czech_republic	Czech Republic		511557036	119905901	484518144	18959216
denmark	Denmark		580524297	76153255	543516667	156530641
djibouti	Djibouti		128923081	416713139	108149547	437579046
dominica	Dominica		158872222	-617869183	149074207	-609329894
dominican_republic	Dominican Republic		20234528	-721657709	17166222	-680148509
east_timor	East Timor		-79895458	1239415703	-96642774	1276335392
ecuador	Ecuador		24495499	-927828789	-51159313	-750925039
egypt	Egypt		319330854	24606389	218999975	372153517
el_salvador	El Salvador		14551667	-902602721	129262117	-874498059
equatorial_guinea	Equatorial Guinea		4089	53172943	-17732195	114598628
eritrea	Eritrea		181479356	36343333	122548219	434001714
estonia	Estonia		600383754	212826069	574093124	283100175
ethiopia	Ethiopia		149944684	32897734	3297448	480823797
falkland_islands	Falkland Islands		-506973006	-618726771	-532186765	-572662366
faroe_islands	Faroe Islands		625476162	-78983833	611880991	-60413261
federated_states_of_micronesia	Federated States of Micronesia		10391	1371234512	727	1633364054
fiji	Fiji		-121613865	-1800999999	-213286516	180.1
finland	Finland		701922939	189832098	593541578	316867044
france	France		51368318	-1784873748	-503187168	1724057152
gabon	Gabon		24182171	84002246	-4201226	14639444
georgia	Georgia		436864294	397844803	409552922	468365373
germany	Germany		55199161	57663153	471701114	151419319
ghana	Ghana		112748562	-33607859	44392525	13732942
greece	Greece		418488862	191477876	346006096	298296986
greenland	Greenland		838491212	-74394555	594209376	-94914437
grenada	Grenada		126966532	-621065867	11686	-610732142
guatemala	Guatemala		179166179	-924105241	135278662	-880648019
guernsey	Guernsey		500416066	-31204014	491208333	-19351849
guinea-bissau	Guinea-Bissau		127862384	-169945229	105514215	-135348776
guinea	Guinea		1277563	-153470907	70906045	-75381992
guyana	Guyana		87038842	-615149049	10710017	-563689542
haiti	Haiti		203181368	-747575356	178099291	-715221296
honduras	Honduras		17719526	-894519439	12879722	-820816379
hungary	Hungary		48685257	160138867	45637128	229974573
iceland	Iceland		67453	-251135068	629859177	-127046161
india	India		357745457	680113787	64546079	97495561
